"Population, total",SP.POP.TOTL,Gibraltar,GIB,27721,27892,28301,31701,32160,32411,32669,32649,32688
"Population, total",SP.POP.TOTL,Greece,GRC,10862132,10902022,10928070,11104899,11045011,10965211,10569207,10426919,10361295
"Population, total",SP.POP.TOTL,Greenland,GRL,56350,56609,56765,56890,56810,56483,56653,56661,56865
"Population, total",SP.POP.TOTL,Grenada,GRD,107936,108231,108740,114918,115912,116945,124610,125438,126183
"Population, total",SP.POP.TOTL,Guam,GUM,161524,162563,163385,165649,166392,167054,170534,171774,172952
"Population, total",SP.POP.TOTL,Guatemala,GTM,11871565,12147518,12415334,14521515,14781942,15043981,17109746,17357886,17602431
"Population, total",SP.POP.TOTL,Guinea,GIN,8445717,8577790,8772254,10527712,10788692,11055430,13531906,13859341,14190612
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1257380,1285678,1315653,1609017,1652717,1697753,2060721,2105566,2150842
"Population, total",SP.POP.TOTL,Guyana,GUY,759809,760323,760562,744230,743966,747420,804567,808726,813834
"Population, total",SP.POP.TOTL,Haiti,HTI,8511728,8661546,8812245,9954312,10108539,10261206,11447569,11584996,11724763
"Population, total",SP.POP.TOTL,Honduras,HND,6837861,7019908,7201881,8622504,8792367,8960657,10278345,10432860,10593798
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,6714300,6744100,6730800,7071600,7150100,7178900,7413100,7346100,7536100
"Population, total",SP.POP.TOTL,Hungary,HUN,10187576,10158608,10129552,9971727,9920362,9893082,9709891,9643048,9589872
"Population, total",SP.POP.TOTL,Iceland,ISL,284968,287523,289521,319014,320716,323764,372520,382003,393600
"Population, total",SP.POP.TOTL,India,IND,1078970907,1098313039,1117415123,1257621191,1274487215,1291132063,1407563842,1417173173,1428627663
"Population, total",SP.POP.TOTL,Indonesia,IDN,217112437,220115092,223080121,247099697,250222695,253275918,273753191,275501339,277534122
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,66674851,67327117,67954699,76342971,77324451,78458928,87923432,88550570,89172767
"Population, total",SP.POP.TOTL,Iraq,IRQ,25425663,26255343,27068823,32378061,33864447,35481800,43533592,44496122,45504560
"Population, total",SP.POP.TOTL,Ireland,IRL,3866243,3931947,3996521,4580084,4599533,4623816,5033164,5127170,5262382
"Population, total",SP.POP.TOTL,Isle of Man,IMN,76398,77183,77939,84350,84338,84144,84263,84519,84710
